Comment,Designator,Footprint,Supplier Part
1uF,"C10,C5,C6",0603-CAP,C15849
10uF,"C13,C19",EIA3216,C7171
1K,R11,0603-RES,C21190
Red,LED1,LED-0603,C2286
10K,R2,0603-RES,C25804
0.1uF,"C3,C1",0603-CAP,C14663
330,"R6,R4",0603-RES,C23138
Green,D3,LED-0603,C72043
MIC5219,U2,SOT23-5,C144182
ATMEGA32U4,U3,QFN-44-NOPAD_1:1-OUTFAKES,C45874
16MHz,Y1,CRYSTAL-SMD-5X3,C13738
22pF,"C2,C4",0603-CAP,C1653
Yellow,D1,LED-0603,C72038
22,"R5,R7",0603-RES,C23345
500mA,F1,PTC-1206,C369159
DIODESOD,D2,SOD-323,C2128
