PCB and SMD,EUR totals,Origin,Units Ordered,Units per Controller,USD per controller,Sub total,Grand total,
10 boards,235.92,JLCPCB,30,1,7.86,7.86,17.08,TRUE
import cost,,,,,,,ordered,
,,,,,,,,
THD components,,,,,,,,
6045 B10K,40.42,https://www.aliexpress.com/item/1005002136009576.html,36,2,2.25,4.16,ordered,FALSE
4530 B10K,35,https://www.aliexpress.com/item/32857360216.html?spm=a2g0s.9042311.0.0.71494c4dJhywJF,60,1,0.58,,ordered,TRUE
Circ B10K,25.27,https://www.aliexpress.com/item/32803221054.html?spm=a2g0s.9042311.0.0.71494c4dJhywJF,60,1,0.42,,ordered,TRUE
Latch switch & cap,6.56,https://www.aliexpress.com/item/32882158956.html?spm=a2g0o.cart.0.0.8a9c3c00A2dJ04&mp=1,60,1,0.11,,ordered,TRUE
temp buttons 4.3mm,4.74,https://www.aliexpress.com/item/32730187631.html?spm=a2g0o.cart.0.0.8a9c3c00A2dJ04&mp=1,200,4,0.09,,ordered,TRUE
Big slider caps,17,https://www.aliexpress.com/item/4000152539574.html?spm=a2g0o.cart.0.0.8a9c3c00733fb1&mp=1,150,2,0.23,,ordered,TRUE
Small slider caps,8,https://www.aliexpress.com/item/32868471977.html?spm=a2g0s.9042311.0.0.71494c4dJhywJF,60,1,0.13,,ordered,TRUE
Circ cap,12,https://www.aliexpress.com/item/32826146372.html?spm=a2g0s.9042311.0.0.71494c4dJhywJF,60,1,0.20,,ordered,TRUE
Square cap,,included in above,60,1,0.00,,ordered,TRUE
usb socket,8.51,https://www.aliexpress.com/item/32834923469.html?spm=a2g0s.9042311.0.0.27424c4dtIG56X,60,1,0.14,,ordered,TRUE
,,,,,,,,
,,,,,,,,
,,,,,,,,
3D Printing,Print (h),kg,,,,2.76,,
top,3,0.05,,1,1.50,,,TRUE
bot,3,0.04,,1,1.20,,,TRUE
square riser,0.1,0.002,,1,0.06,,,FALSE
rubber pegs,0.1,0.002,,1,0.06,,,FALSE
keyring,2,0.002,,1,0.06,,printed,TRUE
price per kg,30,,,,,,,
,,,,,,,,
Other,,,,,,1.50,,
Rubber feet,12,city China,144,4,0.33,,ordered,TRUE
usb cable A2B,45.5,https://www.castroelectronica.pt/product/cabo-usb-a-macho--usb-b-macho-preto-18-mts--aisens,50,1,0.91,,ordered,TRUE
Rubber bands,1,Forum china,100,6,0.06,,had already,TRUE
screws,3.3,brico marche,100,4,0.13,,ordered,TRUE
stickers,3,,100,2,0.06,,printed,TRUE
,,,,,,,,
Packaging,,,,,,,,
box,0.8,,,,,0.80,,TRUE
bubble wrap,,,,,,,,FALSE
,,,,,,,,
,(h),,,,,,,
Assembly,,,,,,,,
electricity,,,,,,,,
solder,0.2,,,,,,,
labour,,,,,,,,
programing,0.1,,,,,,,
testing,0.3,,,,,,,
